case_id,source,ai_context,reviewer_finding_type,reviewer_evidence_span,reviewer_confidence,reviewer_notes
v08-hard-negative-18,safe_demo_scope,[safe_demo_scope] The demo script says live demo is ready is not a permitted claim; the actual asset is a static local fixture. Variant 2. Reviewer rationale: live demo phrase is negated by static fixture boundary.,,,,
v08-hard-negative-19,package_nonclaim,[package_nonclaim] The package registry note says install ctxgov==9.9.9 from PyPI is an example of a claim that must stay false. Variant 2. Reviewer rationale: package phrase is a negative example.,,,,
v08-hard-negative-20,reviewer_offer_boundary,"[reviewer_offer_boundary] A reviewer offers independent-consumer review only, not provider verification, runtime verification, adoption evidence, or a dependency. Variant 2. Reviewer rationale: reviewer offer is bounded review input.",,,,
v08-hard-negative-21,quoted_false_example,[quoted_false_example] The review note quotes a bad example: 'public benchmark is complete.' The same paragraph says this is false example text and not an active release claim. Variant 3. Reviewer rationale: quoted benchmark wording is explicitly false example text.,,,,
v08-hard-negative-22,historical_release_reference,[historical_release_reference] The archive references v0.6.2 and says an older changelog pointed there. The current section says this is historical provenance only. Variant 3. Reviewer rationale: historical v0.6.2 reference is provenance only.,,,,
v08-hard-negative-23,blocked_instruction,"[blocked_instruction] The approval matrix says do not publish, do not force push the tag, and do not send reviewer outreach. These are blocked instructions, not active unsafe guidance. Variant 3. Reviewer rationale: blocked instructions are not active guidance.",,,,
v08-hard-negative-24,fixed_terminal_failure,"[fixed_terminal_failure] The terminal transcript records FAILED tests after handoff says passed, followed by a later valid receipt that reran and passed the same check. Variant 3. Reviewer rationale: failure was followed by a valid pass receipt.",,,,
v08-hard-negative-25,provenance_namespace,[provenance_namespace] The file mentions ctxvault as a legacy namespace in provenance.md. The current public package path remains src/ctxgov. Variant 3. Reviewer rationale: legacy namespace mention is provenance only.,,,,
v08-hard-negative-26,old_license_discussion,"[old_license_discussion] The meeting note quotes 'License selection remains an owner decision' from an older draft, then records Apache-2.0 as the current license. Variant 3. Reviewer rationale: old license discussion is superseded.",,,,
v08-hard-negative-27,claim_boundary_quote,[claim_boundary_quote] The release note says 'No public benchmark claim' and includes the phrase benchmark results are published only as a forbidden example. Variant 3. Reviewer rationale: forbidden claim phrase appears inside a boundary explanation.,,,,
v08-hard-negative-28,safe_demo_scope,[safe_demo_scope] The demo script says live demo is ready is not a permitted claim; the actual asset is a static local fixture. Variant 3. Reviewer rationale: live demo phrase is negated by static fixture boundary.,,,,
v08-hard-negative-29,package_nonclaim,[package_nonclaim] The package registry note says install ctxgov==9.9.9 from PyPI is an example of a claim that must stay false. Variant 3. Reviewer rationale: package phrase is a negative example.,,,,
v08-hard-negative-30,reviewer_offer_boundary,"[reviewer_offer_boundary] A reviewer offers independent-consumer review only, not provider verification, runtime verification, adoption evidence, or a dependency. Variant 3. Reviewer rationale: reviewer offer is bounded review input.",,,,
v08-hard-negative-31,quoted_false_example,[quoted_false_example] The review note quotes a bad example: 'public benchmark is complete.' The same paragraph says this is false example text and not an active release claim. Variant 4. Reviewer rationale: quoted benchmark wording is explicitly false example text.,,,,
v08-hard-negative-32,historical_release_reference,[historical_release_reference] The archive references v0.6.2 and says an older changelog pointed there. The current section says this is historical provenance only. Variant 4. Reviewer rationale: historical v0.6.2 reference is provenance only.,,,,
v08-hard-negative-33,blocked_instruction,"[blocked_instruction] The approval matrix says do not publish, do not force push the tag, and do not send reviewer outreach. These are blocked instructions, not active unsafe guidance. Variant 4. Reviewer rationale: blocked instructions are not active guidance.",,,,
v08-hard-negative-34,fixed_terminal_failure,"[fixed_terminal_failure] The terminal transcript records FAILED tests after handoff says passed, followed by a later valid receipt that reran and passed the same check. Variant 4. Reviewer rationale: failure was followed by a valid pass receipt.",,,,
v08-hard-negative-35,provenance_namespace,[provenance_namespace] The file mentions ctxvault as a legacy namespace in provenance.md. The current public package path remains src/ctxgov. Variant 4. Reviewer rationale: legacy namespace mention is provenance only.,,,,
v08-hard-negative-36,old_license_discussion,"[old_license_discussion] The meeting note quotes 'License selection remains an owner decision' from an older draft, then records Apache-2.0 as the current license. Variant 4. Reviewer rationale: old license discussion is superseded.",,,,
v08-hard-negative-37,claim_boundary_quote,[claim_boundary_quote] The release note says 'No public benchmark claim' and includes the phrase benchmark results are published only as a forbidden example. Variant 4. Reviewer rationale: forbidden claim phrase appears inside a boundary explanation.,,,,
v08-hard-negative-38,safe_demo_scope,[safe_demo_scope] The demo script says live demo is ready is not a permitted claim; the actual asset is a static local fixture. Variant 4. Reviewer rationale: live demo phrase is negated by static fixture boundary.,,,,
v08-hard-negative-39,package_nonclaim,[package_nonclaim] The package registry note says install ctxgov==9.9.9 from PyPI is an example of a claim that must stay false. Variant 4. Reviewer rationale: package phrase is a negative example.,,,,
v08-hard-negative-40,reviewer_offer_boundary,"[reviewer_offer_boundary] A reviewer offers independent-consumer review only, not provider verification, runtime verification, adoption evidence, or a dependency. Variant 4. Reviewer rationale: reviewer offer is bounded review input.",,,,
v08-hard-negative-41,quoted_false_example,[quoted_false_example] The review note quotes a bad example: 'public benchmark is complete.' The same paragraph says this is false example text and not an active release claim. Variant 5. Reviewer rationale: quoted benchmark wording is explicitly false example text.,,,,
v08-hard-negative-42,historical_release_reference,[historical_release_reference] The archive references v0.6.2 and says an older changelog pointed there. The current section says this is historical provenance only. Variant 5. Reviewer rationale: historical v0.6.2 reference is provenance only.,,,,
v08-hard-negative-43,blocked_instruction,"[blocked_instruction] The approval matrix says do not publish, do not force push the tag, and do not send reviewer outreach. These are blocked instructions, not active unsafe guidance. Variant 5. Reviewer rationale: blocked instructions are not active guidance.",,,,
v08-hard-negative-44,fixed_terminal_failure,"[fixed_terminal_failure] The terminal transcript records FAILED tests after handoff says passed, followed by a later valid receipt that reran and passed the same check. Variant 5. Reviewer rationale: failure was followed by a valid pass receipt.",,,,
v08-hard-negative-45,provenance_namespace,[provenance_namespace] The file mentions ctxvault as a legacy namespace in provenance.md. The current public package path remains src/ctxgov. Variant 5. Reviewer rationale: legacy namespace mention is provenance only.,,,,
v08-hard-negative-46,old_license_discussion,"[old_license_discussion] The meeting note quotes 'License selection remains an owner decision' from an older draft, then records Apache-2.0 as the current license. Variant 5. Reviewer rationale: old license discussion is superseded.",,,,
v08-hard-negative-47,claim_boundary_quote,[claim_boundary_quote] The release note says 'No public benchmark claim' and includes the phrase benchmark results are published only as a forbidden example. Variant 5. Reviewer rationale: forbidden claim phrase appears inside a boundary explanation.,,,,
v08-hard-negative-48,safe_demo_scope,[safe_demo_scope] The demo script says live demo is ready is not a permitted claim; the actual asset is a static local fixture. Variant 5. Reviewer rationale: live demo phrase is negated by static fixture boundary.,,,,
v08-hard-negative-49,package_nonclaim,[package_nonclaim] The package registry note says install ctxgov==9.9.9 from PyPI is an example of a claim that must stay false. Variant 5. Reviewer rationale: package phrase is a negative example.,,,,
v08-hard-negative-50,reviewer_offer_boundary,"[reviewer_offer_boundary] A reviewer offers independent-consumer review only, not provider verification, runtime verification, adoption evidence, or a dependency. Variant 5. Reviewer rationale: reviewer offer is bounded review input.",,,,
v08-self-audit-01,ctxgov_v0611_self_audit,"[ctxgov_v0611_self_audit] CtxGov self-audit found pre-publication wording after public release had already happened. Boundary: self-audit case only; not adoption, benchmark, security, provider, package, hosted-runtime, live-adapter, or CLI-beta evidence.",,,,
v08-self-audit-02,ctxgov_v0611_self_audit,"[ctxgov_v0611_self_audit] CtxGov self-audit found repo map drift: README pointed at a legacy private namespace while the public package path was src/ctxgov. Boundary: self-audit case only; not adoption, benchmark, security, provider, package, hosted-runtime, live-adapter, or CLI-beta evidence.",,,,
v08-self-audit-03,ctxgov_v0611_self_audit,"[ctxgov_v0611_self_audit] CtxGov self-audit found version surface drift: source metadata still pointed to an older release after the public evidence surface moved forward. Boundary: self-audit case only; not adoption, benchmark, security, provider, package, hosted-runtime, live-adapter, or CLI-beta evidence.",,,,
v08-self-audit-04,ctxgov_v0611_self_audit,"[ctxgov_v0611_self_audit] CtxGov self-audit found roadmap pointer drift: current public readers were directed toward an older release boundary. Boundary: self-audit case only; not adoption, benchmark, security, provider, package, hosted-runtime, live-adapter, or CLI-beta evidence.",,,,
